,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
369,369,Thabo Sefolosha,SG,22.0,CHI,71.0,4.0,12.2,1.5,3.6,0.426,0.2,0.6,0.35700000000000004,1.3,3.0,0.439,0.455,0.3,0.6,0.511,0.5,1.7,2.2,0.8,0.5,0.2,0.8,1.4,3.6
370,370,Mouhamed Sene,C,20.0,SEA,28.0,3.0,6.0,0.6,1.8,0.3670000000000001,0.0,0.0,0.0,0.6,1.8,0.3670000000000001,0.3670000000000001,0.6,1.0,0.586,0.6,1.0,1.6,0.0,0.1,0.4,0.4,1.2,1.9
371,371,Wayne Simien,PF,23.0,MIA,8.0,0.0,11.6,1.1,2.9,0.391,0.0,0.0,0.0,1.1,2.9,0.391,0.391,0.6,0.9,0.7140000000000001,0.6,0.8,1.4,0.5,0.3,0.0,0.4,1.6,2.9
372,372,Cedric Simmons,PF,21.0,NOK,43.0,4.0,12.4,1.3,3.1,0.41700000000000004,0.0,0.0,0.0,1.3,3.1,0.41700000000000004,0.41700000000000004,0.4,0.8,0.485,1.0,1.5,2.5,0.3,0.2,0.5,0.5,1.7,2.9
373,373,James Singleton,PF,25.0,LAC,53.0,0.0,7.1,0.6,1.5,0.366,0.1,0.3,0.214,0.5,1.3,0.397,0.384,0.4,0.5,0.759,0.7,1.3,2.0,0.3,0.3,0.3,0.3,0.8,1.6
374,374,Brian Skinner,PF,30.0,MIL,67.0,44.0,22.7,1.9,3.8,0.49,0.0,0.0,0.0,1.9,3.8,0.49,0.49,0.7,1.2,0.5820000000000001,1.6,4.2,5.7,0.9,0.3,1.0,1.1,2.9,4.4
375,375,Uroš Slokar,C,23.0,TOR,20.0,0.0,3.6,0.7,1.3,0.5379999999999999,0.1,0.1,0.5,0.7,1.2,0.542,0.5579999999999999,0.5,0.7,0.6920000000000001,0.4,0.4,0.7,0.1,0.1,0.1,0.5,0.6,1.9
376,376,Craig Smith,PF,23.0,MIN,82.0,5.0,18.7,3.0,5.6,0.531,0.0,0.1,0.0,3.0,5.6,0.5379999999999999,0.531,1.4,2.3,0.624,1.8,3.3,5.1,0.6,0.6,0.2,0.9,2.7,7.4
377,377,J.R. Smith,SG,21.0,DEN,63.0,24.0,23.3,4.5,10.2,0.441,2.4,6.1,0.39,2.1,4.2,0.515,0.557,1.6,2.0,0.81,0.5,1.8,2.3,1.4,0.8,0.1,1.3,2.3,13.0
378,378,Joe Smith,PF,31.0,TOT,65.0,11.0,23.1,3.3,7.3,0.449,0.0,0.1,0.0,3.3,7.3,0.45299999999999996,0.449,1.9,2.3,0.845,1.8,4.3,6.2,0.8,0.6,0.4,1.2,2.3,8.5
379,379,Josh Smith,SF,21.0,ATL,72.0,72.0,36.8,6.1,13.8,0.439,0.5,2.1,0.25,5.5,11.7,0.473,0.45799999999999996,3.7,5.4,0.693,2.3,6.3,8.6,3.3,1.4,2.9,3.2,3.3,16.4
